iter	Passed	Remaining
154	3801	20723
155	3824	20690
156	3846	20653
157	3870	20627
158	3893	20592
159	3916	20561
160	3940	20537
161	3969	20532
162	3994	20509
163	4019	20487
164	4042	20459
165	4063	20417
166	4087	20390
167	4111	20362
168	4136	20339
169	4159	20310
170	4180	20267
171	4201	20227
172	4228	20213
173	4249	20175
174	4275	20157
175	4297	20121
176	4321	20094
177	4352	20101
178	4389	20131
179	4424	20158
180	4447	20123
181	4469	20088
182	4491	20053
183	4516	20029
184	4539	19998
185	4563	19973
186	4586	19941
187	4612	19923
188	4637	19897
189	4659	19865
190	4682	19833
191	4705	19803
192	4728	19771
193	4766	19802
194	4789	19771
195	4813	19743
196	4836	19713
197	4859	19685
198	4884	19662
199	4906	19626
200	4929	19596
201	4954	19572
202	4983	19565
203	5011	19553
204	5035	19529
205	5059	19502
206	5084	19476
207	5108	19451
208	5135	19434
209	5157	19402
210	5181	19374
211	5206	19352
212	5230	19326
213	5262	19329
214	5317	19416
215	5375	19511
216	5425	19576
217	5460	19588
218	5493	19592
219	5528	19600
220	5550	19566
221	5573	19532
222	5602	19522
223	5626	19490
224	5648	19455
225	5668	19414
226	5693	19388
227	5716	19356
228	5740	19327
229	5764	19299
230	5792	19283
231	5817	19259
232	5843	19234
233	5867	19206
234	5890	19174
235	5911	19136
236	5935	19107
237	5961	19087
238	5986	19061
239	6023	19075
240	6046	19041
241	6071	19016
242	6095	18987
243	6122	18969
244	6146	18940
245	6168	18907
246	6193	18880
247	6216	18849
248	6241	18824
249	6264	18794
250	6297	18792
251	6322	18767
252	6346	18738
253	6369	18706
254	6391	18674
255	6418	18653
256	6449	18644
257	6493	18674
258	6539	18710
259	6575	18714
260	6611	18721
261	6648	18728
262	6702	18781
263	6763	18854
264	6813	18897
265	6853	18910
266	6884	18900
267	6916	18892
268	6957	18907
269	6988	18894
270	7018	18880
271	7047	18862
272	7080	18854
273	7131	18894
274	7168	18898
275	7205	18900
276	7245	18911
277	7276	18897
278	7311	18894
279	7343	18883
280	7373	18866
281	7395	18829
282	7417	18792
283	7439	18754
284	7462	18721
285	7483	18683
286	7507	18650
287	7540	18641
288	7565	18613
289	7589	18580
290	7612	18547
291	7641	18526
292	7663	18491
293	7686	18458
294	7721	18451
295	7757	18450
296	7786	18430
297	7825	18435
298	7860	18428
299	7884	18396
300	7909	18366
301	7930	18329
302	7955	18301
303	7979	18268
304	8005	18241
305	8028	18208
306	8054	18181
307	8079	18152
308	8104	18124
309	8130	18097
310	8156	18069
311	8182	18042
312	8206	18012
313	8230	17980
314	8258	17959
315	8310	17988
316	8345	17980
317	8387	17988
318	8428	17992
319	8476	18013
320	8519	18020
321	8591	18089
322	8630	18088
323	8682	18115
324	8732	18135
325	8796	18187
326	8844	18203
327	8876	18185
328	8921	18195
329	8956	18184
330	8986	18163
331	9018	18145
332	9055	18138
333	9088	18123
334	9128	18120
335	9168	18117
336	9201	18101
337	9231	18081
338	9254	18044
339	9279	18014
340	9304	17980
341	9328	17947
342	9354	17917
343	9376	17880
344	9400	17847
345	9422	17809
346	9444	17772
347	9467	17738
348	9491	17704
349	9512	17666
350	9535	17631
351	9559	17597
352	9582	17563
353	9619	17553
354	9646	17525
355	9669	17491
356	9691	17455
357	9716	17424
358	9750	17409
359	9781	17388
360	9804	17354
361	9828	17321
362	9851	17288
363	9874	17252
364	9898	17221
365	9921	17187
366	9944	17152
367	9967	17118
368	9992	17086
369	10014	17051
370	10036	17015
371	10058	16980
372	10081	16947
373	10103	16911
374	10125	16875
375	10149	16844
376	10172	16810
377	10195	16776
378	10240	16779
379	10286	16782
380	10324	16774
381	10352	16748
382	10386	16732
383	10416	16710
384	10445	16686
385	10469	16652
386	10495	16624
387	10520	16593
388	10542	16558
389	10564	16523
390	10589	16493
391	10617	16467
392	10649	16447
393	10673	16417
394	10697	16384
395	10719	16350
396	10741	16314
397	10764	16281
398	10789	16251
399	10811	16217
400	10835	16186
401	10860	16155
402	10886	16126
403	10910	16095
404	10934	16064
405	10958	16033
406	10985	16005
407	11008	15973
408	11029	15938
409	11054	15907
410	11081	15880
411	11103	15847
412	11126	15814
413	11150	15783
414	11173	15750
415	11196	15718
416	11219	15686
417	11241	15651
418	11262	15616
419	11286	15586
420	11309	15553
421	11353	15549
422	11388	15535
423	11430	15527
424	11479	15531
425	11530	15535
426	11560	15512
427	11592	15492
428	11624	15472
429	11679	15482
430	11717	15469
431	11756	15458
432	11796	15446
433	11836	15437
434	11877	15426
435	11932	15435
436	11989	15446
437	12025	15429
438	12063	15415
439	12107	15409
440	12151	15403
441	12191	15390
442	12229	15377
443	12270	15365
444	12313	15357
445	12352	15343
446	12390	15328
447	12434	15321
448	12491	15329
449	12538	15324
450	12577	15310
451	12620	15300
452	12656	15282
453	12684	15255
454	12708	15221
455	12731	15188
456	12754	15154
457	12778	15122
458	12802	15089
459	12828	15059
460	12851	15026
461	12876	14994
462	12898	14959
463	12922	14928
464	12947	14896
465	12977	14871
466	13006	14845
467	13030	14812
468	13054	14780
469	13079	14748
470	13106	14719
471	13132	14690
472	13157	14659
473	13181	14627
474	13203	14593
475	13226	14560
476	13250	14528
477	13275	14496
478	13300	14466
479	13324	14434
480	13348	14403
481	13372	14371
482	13395	14338
483	13418	14306
484	13442	14273
485	13465	14241
486	13492	14212
487	13515	14180
488	13539	14149
489	13562	14116
490	13583	14081
491	13606	14048
492	13632	14019
493	13657	13989
494	13684	13960
495	13706	13927
496	13732	13898
497	13757	13868
498	13782	13837
499	13804	13804
500	13830	13774
501	13853	13743
502	13878	13713
503	13901	13680
504	13925	13649
505	13949	13619
506	13979	13593
507	14006	13565
508	14030	13533
509	14055	13504
510	14081	13475
511	14104	13443
512	14127	13411
513	14151	13380
514	14175	13349
515	14198	13318
516	14220	13284
517	14245	13255
518	14267	13222
519	14291	13191
520	14314	13160
521	14340	13132
522	14377	13113
523	14410	13090
524	14441	13065
525	14462	13032
526	14489	13004
527	14514	12974
528	14537	12943
529	14559	12910
530	14582	12879
531	14605	12848
532	14633	12821
533	14658	12791
534	14687	12765
535	14710	12734
536	14731	12701
537	14754	12670
538	14776	12638
539	14798	12606
540	14821	12574
541	14847	12546
542	14869	12514
543	14894	12484
544	14920	12456
545	14944	12426
546	14968	12395
547	14993	12366
548	15024	12342
549	15048	12312
550	15071	12281
551	15093	12249
552	15117	12219
553	15142	12190
554	15165	12159
555	15189	12129
556	15213	12099
557	15236	12068
558	15258	12037
559	15282	12007
560	15306	11977
561	15331	11948
562	15356	11919
563	15380	11889
564	15405	11860
565	15429	11831
566	15454	11802
567	15479	11773
568	15502	11742
569	15526	11712
570	15551	11684
571	15575	11654
572	15599	11625
573	15625	11596
574	15653	11569
575	15686	11547
576	15713	11519
577	15738	11490
578	15761	11460
579	15786	11431
580	15812	11403
581	15834	11372
582	15859	11343
583	15884	11315
584	15908	11285
585	15932	11255
586	15955	11225
587	15979	11196
588	16001	11165
589	16026	11137
590	16051	11108
591	16080	11082
592	16103	11052
593	16127	11023
594	16151	10993
595	16175	10964
596	16199	10935
597	16221	10904
598	16244	10874
599	16266	10844
600	16290	10815
601	16321	10790
602	16346	10762
603	16370	10732
604	16394	10704
605	16417	10674
606	16440	10644
607	16464	10615
608	16488	10586
609	16511	10556
610	16533	10526
611	16556	10496
612	16579	10467
613	16602	10437
614	16629	10410
615	16655	10382
616	16683	10356
617	16711	10329
618	16734	10300
619	16759	10271
620	16785	10244
621	16808	10214
622	16832	10186
623	16856	10157
624	16880	10128
625	16903	10098
626	16937	10075
627	16964	10049
628	16987	10019
629	17011	9990
630	17036	9962
631	17060	9934
632	17085	9906
633	17109	9876
634	17133	9848
635	17157	9819
636	17182	9791
637	17205	9762
638	17227	9732
639	17253	9704
640	17276	9675
641	17301	9647
642	17324	9618
643	17348	9590
644	17373	9562
645	17397	9533
646	17421	9505
647	17443	9475
648	17469	9447
649	17501	9424
650	17526	9395
651	17550	9367
652	17575	9339
653	17599	9310
654	17626	9284
655	17648	9254
656	17672	9226
657	17698	9198
658	17725	9172
659	17750	9144
660	17774	9115
661	17797	9086
662	17822	9058
663	17845	9030
664	17869	9001
665	17896	8974
666	17920	8946
667	17945	8918
668	17968	8890
669	17991	8861
670	18016	8833
671	18041	8805
672	18064	8777
673	18086	8748
674	18111	8720
675	18133	8691
676	18155	8662
677	18182	8635
678	18207	8607
679	18231	8579
680	18256	8551
681	18281	8524
682	18304	8495
683	18327	8466
684	18351	8439
685	18374	8410
686	18398	8382
687	18422	8354
688	18450	8327
689	18472	8299
690	18495	8270
691	18517	8241
692	18549	8217
693	18572	8188
694	18595	8160
695	18618	8132
696	18643	8104
697	18664	8075
698	18689	8047
699	18714	8020
700	18740	7993
701	18764	7965
702	18787	7937
703	18810	7908
704	18833	7880
705	18856	7852
706	18881	7825
707	18904	7796
708	18927	7768
709	18955	7742
710	18979	7714
711	19003	7686
712	19028	7659
713	19053	7631
714	19076	7603
715	19101	7576
716	19124	7548
717	19146	7519
718	19169	7491
719	19193	7464
720	19219	7437
721	19242	7409
722	19267	7381
723	19292	7354
724	19315	7326
725	19339	7298
726	19365	7272
727	19385	7243
728	19409	7215
729	19435	7188
730	19459	7161
731	19483	7133
732	19507	7105
733	19531	7078
734	19563	7053
735	19593	7028
736	19620	7001
737	19645	6974
738	19669	6946
739	19699	6921
740	19749	6902
741	19771	6874
742	19794	6846
743	19816	6818
744	19837	6790
745	19859	6761
746	19884	6734
747	19906	6706
748	19929	6678
749	19952	6650
750	19977	6623
751	20001	6596
752	20023	6568
753	20048	6540
754	20070	6512
755	20095	6485
756	20118	6458
757	20142	6430
758	20167	6403
759	20189	6375
760	20214	6348
761	20240	6321
762	20264	6294
763	20287	6266
764	20310	6239
765	20332	6211
766	20356	6183
767	20378	6155
768	20401	6128
769	20424	6100
770	20449	6073
771	20474	6046
772	20497	6019
773	20519	5991
774	20543	5964
775	20566	5936
776	20588	5909
777	20616	5882
778	20644	5856
779	20668	5829
780	20693	5802
781	20714	5774
782	20744	5749
783	20769	5722
784	20794	5695
785	20816	5667
786	20840	5640
787	20865	5613
788	20887	5585
789	20913	5559
790	20937	5532
791	20959	5504
792	20985	5477
793	21008	5450
794	21033	5423
795	21057	5396
796	21080	5369
797	21104	5342
798	21128	5315
799	21152	5288
800	21174	5260
801	21199	5233
802	21223	5206
803	21256	5181
804	21297	5158
805	21345	5137
806	21376	5112
807	21410	5087
808	21446	5063
809	21497	5042
810	21530	5017
811	21563	4992
812	21598	4967
813	21633	4943
814	21666	4918
815	21705	4894
816	21738	4869
817	21774	4844
818	21804	4818
819	21835	4793
820	21869	4768
821	21902	4742
822	21945	4719
823	21976	4694
824	22007	4668
825	22038	4642
826	22070	4617
827	22104	4591
828	22139	4566
829	22171	4541
830	22203	4515
831	22236	4490
832	22267	4464
833	22299	4438
834	22333	4413
835	22364	4387
836	22397	4361
837	22431	4336
838	22462	4310
839	22492	4284
840	22524	4258
841	22554	4232
842	22588	4206
843	22619	4180
844	22651	4155
845	22683	4129
846	22716	4103
847	22749	4077
848	22794	4054
849	22829	4028
850	22862	4002
851	22895	3977
852	22926	3951
853	22970	3926
854	22998	3900
855	23029	3874
856	23060	3847
857	23089	3821
858	23122	3795
859	23158	3770
860	23188	3743
861	23217	3716
862	23248	3690
863	23279	3664
864	23310	3638
865	23343	3611
866	23377	3586
867	23415	3560
868	23446	3534
869	23490	3510
870	23533	3485
871	23566	3459
872	23610	3434
873	23680	3413
874	23736	3390
875	23777	3365
876	23817	3340
877	23874	3317
878	23910	3291
879	23955	3266
880	24008	3242
881	24065	3219
882	24112	3194
883	24163	3170
884	24195	3144
885	24229	3117
886	24263	3091
887	24296	3064
888	24331	3038
889	24368	3011
890	24437	2989
891	24480	2964
892	24511	2937
893	24547	2910
894	24578	2883
895	24610	2856
896	24647	2830
897	24682	2803
898	24711	2776
899	24755	2750
900	24797	2724
901	24831	2697
902	24863	2670
903	24896	2643
904	24926	2616
905	24957	2589
906	24990	2562
907	25025	2535
908	25064	2509
909	25097	2482
910	25131	2455
911	25162	2427
912	25195	2400
913	25227	2373
914	25261	2346
915	25294	2319
916	25325	2292
917	25359	2265
918	25395	2238
919	25426	2211
920	25458	2183
921	25494	2156
922	25526	2129
923	25559	2102
924	25590	2074
925	25623	2047
926	25654	2020
927	25686	1992
928	25719	1965
929	25751	1938
930	25785	1911
931	25821	1883
932	25856	1856
933	25887	1829
934	25920	1801
935	25951	1774
936	25982	1746
937	26012	1719
938	26054	1692
939	26098	1665
940	26142	1639
941	26173	1611
942	26204	1583
943	26238	1556
944	26270	1528
945	26303	1501
946	26334	1473
947	26366	1446
948	26400	1418
949	26435	1391
950	26466	1363
951	26499	1336
952	26531	1308
953	26567	1281
954	26604	1253
955	26639	1226
956	26671	1198
957	26703	1170
958	26737	1143
959	26770	1115
960	26813	1088
961	26849	1060
962	26885	1032
963	26915	1005
964	26968	978
965	26989	949
966	27016	921
967	27038	893
968	27062	865
969	27095	837
970	27119	809
971	27143	781
972	27169	753
973	27193	725
974	27216	697
975	27242	669
976	27265	641
977	27289	613
978	27312	585
979	27337	557
980	27364	530
981	27390	502
982	27414	474
983	27436	446
984	27462	418
985	27493	390
986	27518	362
987	27540	334
988	27563	306
989	27587	278
990	27617	250
991	27640	222
992	27663	195
993	27689	167
994	27713	139
995	27736	111
996	27760	83
997	27782	55
998	27808	27
999	27837	0
